Status	Description	References	Datasheet	Manufacturer	Part Number	Vendor	Quantity	Price	Cost	Preferred
Auto Selected	10V 22uF X5R ±20% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	C3 C2 C1	https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL10A226MP8NUNE_C86295.pdf	Samsung Electro-Mechanics	CL10A226MP8NUNE	DigiKey	3.0	0.03247	0.09741	preferred
Auto Selected	10V 2.2uF X5R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	C14 C10	https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-GRM033R61A225KE47D_C335106.pdf	MURATA	GRM033R61A225KE47D	DigiKey	2.0	0.04487	0.08974	preferred
Auto Selected		J6			10103594-0001LF	DigiKey	1.0	0.72	0.72	preferred
Auto Selected	50mA 470nH ±3% 16.5Ω -  Inductors (SMD) ROHS	L1	https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-LQP03HQR47H02D_C1857921.pdf	MURATA	LQP03HQR47H02D	DigiKey	1.0	0.08652	0.08652	preferred
Auto Selected	Colorless transparence -40℃~+85℃ Positive post RGB 120° SMD,1.6x1.7mm  Light Emitting Diodes (LED) ROHS	D1	https://datasheet.lcsc.com/lcsc/2005041205_HONGLITRONIC-Hongli-Zhihui--HONGLITRONIC-HL-PCF-1617S39FU70GH203BC-A_C513368.pdf	HongliTronic	HL-PCF-1617S39FU70GH203BC-A	iodParts	1.0	0.08837	0.08837	preferred
Auto Selected	10V 2.2uF X5R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	C36 C5 C43 C42 C27	https://datasheet.lcsc.com/lcsc/2304140030_Walsin-Tech-Corp-0201X104K160CT_C384822.pdf	Walsin Technology Corporation	0201X104K160CT	DigiKey	5.0	0.00228	0.0114	preferred
Auto Selected	50mW Thick Film Resistors ±5% ±200ppm/℃ 20kΩ 0201  Chip Resistor - Surface Mount ROHS	R4	https://www.meritekusa.com/wp-content/uploads/2018/06/Standard-Chip-Resistor-CR-Series.pdf	Meritek	CR25203J	DigiKey	1.0	0.00178	0.00178	preferred
Auto Selected	6V Unidirectional 5.5V SON-6(1x1.5)  ESD Protection Devices ROHS	U7	https://datasheet.lcsc.com/lcsc/1809050016_Texas-Instruments-TPD4S012DRYR_C96506.pdf	Texas Instruments	TPD4S012DRYR	DigiKey	1.0	0.19513	0.19513	preferred
Auto Selected	Highly Integrated Advanced Bluetooth® 5.2 SoC	U1		RENESAS	DA14705-00000HZ2	Easev	1.0	12.32	12.32	preferred
Auto Selected	50mW Thick Film Resistors ±5% ±200ppm/℃ 1kΩ 0201  Chip Resistor - Surface Mount ROHS	R8	https://page.venkel.com/hubfs/Resources/Datasheets/CR-Series.pdf	Venkel	CR0201-20W-102JT	DigiKey	1.0	0.00161	0.00161	preferred
Auto Selected	10V 47uF ±20% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	C6 C4	https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx?la=en-us	MURATA	GRM21BR61A476ME15K	DigiKey	2.0	0.15357	0.30714	preferred
