Comment,Designator,Footprint,LCSC
0R,R1,Pkg0201_18,C106228
BQ51003YFPR,U3,LP_7,C134093
EVPBB4A9B000,"U14,U15,U16",LP_2,C140848
AT25FF321A-UUN-T,U2,WLCSP_12,C1858339
CSD75207W15,U13,LP_6,C201968
DA7212-01UM2,U4,LP_3,C2649370
~,U17,Pkg_2450AT18D0100_STD_R_1,C2917718
23-23B/R6GHBHW-C30/2A,U6,LP_4,C2922368
TPD4S012DRYR,U7,SON_6_L1_5_W1_0_P0_50_BL,C2959843
FH19C-6S-0.5SH(10),U5,LP_5,C424651
LSM6DSOXTR,U9,LP_1,C481766
100n,"C27,C36,C42,C43,C5",Pkg0201_44,C76934
1u,"C13,C26,C28,C29,C30,C31,C32,C33,C34,C35,C37,C38,C39,C47,C48",Pkg0201_27,C76935
DRV2605YZFR,U12,LP_8,C81079
XRCGB32M000F1H00R0,XTAL1,CRYSTAL_SMD_4P_L2_0_W1_6_BL_1,C880116
1n,L3,Pkg0201_40,
1n,L4,Pkg0201_9,
1p,C49,Pkg0201_32,
1p,C50,Pkg0201_2,
10u,C12,Pkg0402,
470n,L1,Pkg0603_3,
1u,L2,Pkg0402_7,
10u,C11,Pkg0402_1,
DA14705-00000HZ2,U1,LP,
10103594-0001LF,J6,AMPHENOL_10103594_0001LF,
100K,R18,Pkg0201_13,
8K2,R15,Pkg0201_5,
22u,C3,Pkg0603_2,
22u,C2,Pkg0603_1,
8K2,R14,Pkg0201_5,
22u,C1,Pkg0603,
8K2,R13,Pkg0201_20,
10K,R7,Pkg0201_16,
10K,R5,Pkg0201_39,
10K,R6,Pkg0201_4,
1K,R8,Pkg0201_28,
8K2,R12,Pkg0201_20,
470n,C15,Pkg0402_5,
22n,C18,Pkg0201_26,
470n,C16,Pkg0402_10,
22n,C17,Pkg0201_14,
10n,C20,Pkg0201_45,
270p,C21,Pkg0201_12,
8K2,R16,Pkg0201_30,
10n,C19,Pkg0201_36,
8K2,R17,Pkg0201_30,
4.7u,C24,Pkg0402_8,
20K,R4,Pkg0201_29,
10u,C9,Pkg0402_9,
196R,R3,Pkg0201_17,
845R,R2,Pkg0201_6,
2.2u,C14,Pkg0201_41,
2.2u,C10,Pkg0201_11,
10n,C22,Pkg0201_23,
10u,C23,Pkg0402_3,
47u,C6,Pkg0805,
47u,C4,Pkg0805_1,
10u,C7,Pkg0402_2,
10u,C8,Pkg0402_4,
4.7u,C25,Pkg0402_6,
