Comment,Designator,Footprint,LCSC
BQ51003YFPR,U3,LP_7,C134093
EVPBB4A9B000,"U14,U15,U16",LP_2,C140848
AT25FF321A-UUN-T,U2,WLCSP_12,C1858339
CSD75207W15,U13,LP_6,C201968
DA7212-01UM2,U4,LP_3,C2649370
2450AT18D0100,U17,Pkg_2450AT18D0100_STD_R_1,C2917718
TPD4S012DRYR,U7,SON_6_L1_5_W1_0_P0_50_BL,C2959843
FH19C-6S-0.5SH(10),U5,LP_5,C424651
LSM6DSOXTR,U9,LP_1,C481766
DRV2605YZFR,U12,LP_8,C81079
XRCGB32M000F1H00R0,XTAL1,CRYSTAL_SMD_4P_L2_0_W1_6_BL_1,C880116
DA14705-00000HZ2,U1,LP,
10103594-0001LF,J6,AMPHENOL_10103594_0001LF,C428495
