"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"";"dummy46";1;"";;;
2;"C2";"Pkg0603_2";1;"22u";;;
3;"";"dummy23";1;"";;;
4;"";"dummy92";1;"";;;
5;"";"dummy3";1;"";;;
6;"";"dummy88";1;"";;;
7;"C10";"Pkg0201_38";1;"2.2u";;;
8;"";"dummy41";1;"";;;
9;"C43";"Pkg0201_26";1;"100n";;;
10;"";"dummy48";1;"";;;
11;"R16,R17";"Pkg0201_5";2;"8K2";;;
12;"C1";"Pkg0603_1";1;"22u";;;
13;"R7";"Pkg0201_19";1;"10K";;;
14;"";"dummy70";1;"";;;
15;"";"dummy39";1;"";;;
16;"U5";"LP_3";1;"~";;;
17;"C23";"Pkg0402_8";1;"10u";;;
18;"C16";"Pkg0201_4";1;"470n";;;
19;"";"dummy33";1;"";;;
20;"";"dummy47";1;"";;;
21;"C17";"Pkg0201_18";1;"22n";;;
22;"";"dummy67";1;"";;;
23;"";"dummy7";1;"";;;
24;"";"dummy8";1;"";;;
25;"C37";"Pkg0201_10";1;"1u";;;
26;"";"dummy100";1;"";;;
27;"";"dummy57";1;"";;;
28;"";"dummy16";1;"";;;
29;"C50";"Pkg0201_32";1;"1p";;;
30;"";"dummy17";1;"";;;
31;"C25";"Pkg0402_3";1;"4.7u";;;
32;"C27";"Pkg0201_24";1;"100n";;;
33;"";"dummy62";1;"";;;
34;"";"dummy112";1;"";;;
35;"";"dummy107";1;"";;;
36;"R5";"Pkg0201_44";1;"10K";;;
37;"R9";"Pkg0201_8";1;"0R";;;
38;"";"dummy106";1;"";;;
39;"";"dummy78";1;"";;;
40;"C26";"Pkg0201_7";1;"1u";;;
41;"";"dummy37";1;"";;;
42;"C39";"Pkg0201_20";1;"1u";;;
43;"R15,R14";"Pkg0201_36";2;"8K2";;;
44;"";"dummy32";1;"";;;
45;"U2";"WLCSP_12";1;"~";;;
46;"";"dummy81";1;"";;;
47;"U12";"LP_6";1;"~";;;
48;"";"dummy21";1;"";;;
49;"";"dummy12";1;"";;;
50;"L1";"Pkg0201_11";1;"470n";;;
